storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
AUTO PARTS PLUS,CarQuest,1000548,AIRPORT ROAD,BOTTLE CREEK,TC,0,BWI,6499467184,"-28.7798099517822,152.64729309082","-28.7798099517822,152.64729309082"
HAWTHORNE MACHINERY OF SAMOA,CarQuest,1001524,4 INDUSTRIAL PARK WAY,PAGO PAGO,AS,96799,AS ,6846994306,"-34.8415794372559,-55.9769096374512","-34.8415794372559,-55.9769096374512"
Advance Auto Parts,CarQuest,1001574,965 BOULEVARD CURÉ-LABELLE,LAVAL,QC,H7V 2V7,CAN,,"-73.7489594,45.5428738","-73.7489594,45.5428738"
MTL-LAVAL-CHOMEDEY QC,CarQuest,1001802,965 BOULEVARD CURÉ-LABELLE,LAVAL,QC,H7V 2V7,CAN,,"-73.7489594,45.5428738","-73.7489594,45.5428738"
"RAD AUTO WORKS, LIMITED",CarQuest,1001927,"BL 1, PT 1, ONIGBONGBO VILLAGE","LEKKI LAGOS, NIGERIA",-0,0,NG ,0,"6.49339389801025,3.72066807746887","6.49339389801025,3.72066807746887"
PALAU CARQUEST,CarQuest,1001845,P.O. BOX 605,"MALAKAL, KOROR",PW,96940,PW ,6804885575,"9.52998733520508,31.6554794311523","9.52998733520508,31.6554794311523"
CARQUEST,CarQuest,1000668,128 B NORTH MARINE CORPS DR,TAMUNING,GU,96913,GU ,6716494283,"13.4950304031372,144.787826538086","13.4950304031372,144.787826538086"
"ALL PARTS, INC.",CarQuest,1000496,504096 TUN SEGUNDO ST,SAIPAN,MP,96950-4096,MP ,6702352302,"15.1888246536255,145.753509521484","15.1888246536255,145.753509521484"
"ALL PARTS, INC. #2",CarQuest,1000497,504096 CHALAN PALE ARNOLD,GUALO RAI. SAIPAN,MP,96950-4096,MP ,6702352277,"15.1888246536255,145.753509521484","15.1888246536255,145.753509521484"
CARAVAN AUTO PARTS & REPAIR SHOP,CarQuest,1000642,1404 PINE PEACE,ST JOHN,VI,830,VI ,3407794800,"18.3384056091309,-64.7372665405273","18.3384056091309,-64.7372665405273"
AUTO PARTES BAJA - CHAPULTEPEC,CarQuest,1000528,BLVD LAZARO CARDENAS #281 PARQUE INDUSTRIAL,ENSENADA,BC,22880,MEX,(646) 182-1181,"20.04441,-102.71651","20.04441,-102.71651"
Advance Auto Parts,CarQuest,1001559,400 U.S. HWY 1792 S.,LONGWOOD,FL,32750,USA,,"28.694583,-81.32922","28.694583,-81.32922"
HAPPY LAND SHOPPING CENTER,CarQuest,1001514,BURAS HARDWARE & SUPPLY,BURAS,LA,70041,USA,5046576333,"29.3586597442627,-89.5322189331055","29.3586597442627,-89.5322189331055"
CASH AUTO SUPPLY,CarQuest,1000843,24524 HWY 190 / P.O.BOX 181,KROTZ SPRINGS,LA,70750,USA,3375663712,"30.5407600139307,-91.7796849929869","30.5407600139307,-91.7796849929869"
LOXLEY AUTO PARTS & HARDWARE,CarQuest,1001718,P.O. BOX 363 / 1051 N. HICKORY,LOXLEY,AL,36551,USA,2519645013,"30.6226635140622,-87.7530494064905","30.6226635140622,-87.7530494064905"
ALEX AUTO PARTES,CarQuest,1000492,AVENIDA SONORA #110,CANANEA,SO,84620,MEX,(645) 332-5081,"30.98093,-110.30211","30.98093,-110.30211"
BEARDSLEE AUTOMOTIVE AND SPL,CarQuest,1000577,MAIL TO:120 LENA DRIVE,CRANE,TX,79731,USA,4325582370,"31.429583,-102.464987","31.429583,-102.464987"
AUTO PARTES BAJA S.A DE C.V,CarQuest,1000532,BLVD ESTANCIA #179,FRACC ACAPULCO,BC,22890,MEX,,"31.84145,-116.60518","31.84145,-116.60518"
AUTO PARTES JOSE MONTOYA EXPORT,CarQuest,1000533,BOULEVARD ESTANCIA #179,FRACC ACAPULCO,BC,22890,MEX,,"31.84145,-116.60518","31.84145,-116.60518"
AUTO PARTES BAJA -9NA,CarQuest,1000531,CALLE NUEVE Y ALVARADO #901,ENSENADA,BC,22880,MEX,(646) 178-2554,"31.85336,-116.60777","31.85336,-116.60777"
AUTO PARTES BAJA - MEXICO,CarQuest,1000530,AV MEXICO Y  PRIMER AYUNTAMIENTO #162,ENSENADA,BC,22880,MEX,(646) 173-4411,"31.85926,-116.6033","31.85926,-116.6033"
BWK AUTO PARTS LLC,CarQuest,1000623,410 SOUTH 4TH ST / PO BOX 602,MORTON,MS,39117,USA,6017326313,"32.3477479955576,-89.6564042591995","32.3477479955576,-89.6564042591995"
AUTO PARTES Y EQUIPOS GENUINOS S.A. DE C.V.,CarQuest,1000536,BLVD. BENITO JUAREZ #2501-B,PLAYAS DE ROSARITO,BC,22710,MEX,,"32.3623684,-117.0594048","32.3623684,-117.0594048"
Advance Auto Parts,CarQuest,1000382,6540 CAMP BOWIE BLVD,FORT WORTH,TX,76116,USA,8174846286,"32.72452,-97.425505","32.72452,-97.425505"
CARQUEST,CarQuest,1001217,4149 CARTAGENA DRIVE SUITE # C,SAN DIEGO,CA,92115,USA,6192878558,"32.75285,-117.06141","32.75285,-117.06141"
Advance Auto Parts,CarQuest,1000444,PARCEL # 500-10-008-D,AVONDALE,AZ,85323,USA,,"33.4330787658691,-112.347930908203","33.4330787658691,-112.347930908203"
MILLS MORRIS,CarQuest,1001768,2002 MAIN STREET / PO BOX 2306,COLUMBUS,MS,39701,USA,6623286503,"33.49804,-88.40925","33.49804,-88.40925"
"KISER AUTO PARTS, CO.",CarQuest,1001651,400 EAST 5TH STREET,PLAINVIEW,TX,79072,USA,8062933912,"34.1955451965332,-101.729415893555","34.1955451965332,-101.729415893555"
CARQUEST,CarQuest,1001128,21515 SOLEDAD CANYON RD #101,SANTA CLARITA,CA,91350,USA,6612592552,"34.41702,-118.51266","34.41702,-118.51266"
PETERSONS AUTO SUPPLY,CarQuest,1001867,1348 F STREET,WASCO,CA,93280,USA,6617586458,"35.5907516479492,-119.336647033691","35.5907516479492,-119.336647033691"
PHILMA INC,CarQuest,1001873,2232 ALUM ROCK AVE #40,SAN JOSE,CA,95116,USA,4082548218,"37.35733,-121.84522","37.35733,-121.84522"
Advance Auto Parts,CarQuest,1001567,400 E. TRIMBLE RD.,SAN JOSE,CA,95131,USA,,"37.389041,-121.921241","37.389041,-121.921241"
CARQUEST,CarQuest,1000986,5845  WINDMILL AVE  UNIT # A,CARMICHAEL,CA,95608,USA,9169746390,"38.6479500000053,-121.327985","38.6479500000053,-121.327985"
CARQUEST,CarQuest,1001209,6015  PACIFIC ST   # 1,ROCKLIN,CA,95677,USA,9166245186,"38.7890701293945,-121.233589172363","38.7890701293945,-121.233589172363"
Advance Auto Parts,CarQuest,1000125,2469 HIGHWAY 6 & 50,GRAND JUNCTION,CO,81505,USA,9702424774,"39.0617899997366,-108.564459958092","39.0617899997366,-108.564459958092"
CARQUEST,CarQuest,1001091,8720 NW 63RD ST,PARKVILLE,MO,64152,USA,8165876100,"39.1892318725586,-94.6838989257812","39.1892318725586,-94.6838989257812"
CARQUEST,CarQuest,1000721,901 MERRITT BLVD.,BALTIMORE,MD,21222,USA,(410) 488-1900,"39.28568,-76.50545","39.28568,-76.50545"
Advance Auto Parts,CarQuest,1000047,305 E MAIN ST.,CARRBORO,NC,27510,USA,9199672289,,
Advance Auto Parts,CarQuest,1000071,120 WEST LIBERTY ST.,MEDINA,OH,44256,USA,3307256608,,
Advance Auto Parts,CarQuest,1000076,756 WEST POPLAR AVE.,COLLIERVILLE,TN,38017,USA,9018617192,,
Advance Auto Parts,CarQuest,1000102,509 N. MANGUM ST.,DURHAM,NC,27701,USA,9196825781,,
Advance Auto Parts,CarQuest,1000129,21325 S.E. STARK ST.,GRESHAM,OR,97030,USA,5036657111,,
Advance Auto Parts,CarQuest,1000146,1991 LAKEPOINT DR.,LEWISVILLE,TX,75057,USA,9724599144,,
Advance Auto Parts,CarQuest,1000163,1910 S. STOUGHTON RD.,MADISON,WI,53716,USA,6082240213,,
Advance Auto Parts,CarQuest,1000166,619 S. DIAMOND ST.,MANSFIELD,OH,44907,USA,4195248866,,
Advance Auto Parts,CarQuest,1000202,3320 WEST 151ST ST.,ROSEMOUNT,MN,55068,USA,6514231159,,
Advance Auto Parts,CarQuest,1000203,6118 OSGOOD AVE. N.,STILLWATER,MN,55082,USA,6514395556,,
Advance Auto Parts,CarQuest,1000214,5308 S.E. ABSHIRE BLVD.,BELLEVIEW,FL,34420,USA,3522459144,,
Advance Auto Parts,CarQuest,1000228,1505 13TH ST.,PARKERSBURG,WV,26101,USA,3044225456,,
Advance Auto Parts,CarQuest,1000236,410 E. SIOUX AVE.,PIERRE,SD,57501,USA,6052247374,,
Advance Auto Parts,CarQuest,1000271,207 SOUTH MAIN ST.,RUSHVILLE,IN,46173,USA,7659323917,,
Advance Auto Parts,CarQuest,1000291,332 S. BLACK RIVER ST.,SPARTA,WI,54656,USA,6082693195,,
Advance Auto Parts,CarQuest,1000311,1865 N. MAIN ST.,TILLAMOOK,OR,97141,USA,5038428241,,
Advance Auto Parts,CarQuest,1000317,3454 YOUNGSTOWN ROAD S.E.,WARREN,OH,44484,USA,3303921548,,
Advance Auto Parts,CarQuest,1000320,1184 W. MAIN ST.,WHITEWATER,WI,53190,USA,2624580594,,
Advance Auto Parts,CarQuest,1000331,210 NORTH BEVER ST.,WOOSTER,OH,44691,USA,3302649748,,
Advance Auto Parts,CarQuest,1000355,4709 BROAD RIVER RD.,COLUMBIA,SC,29210,USA,8037986201,,
Advance Auto Parts,CarQuest,1000356,117 CHARLESTON HWY.,WEST COLUMBIA,SC,29169,USA,8037966052,,
Advance Auto Parts,CarQuest,1000392,1120 EAST IRVING BLVD.,IRVING,TX,75060,USA,9725793430,,
Advance Auto Parts,CarQuest,1000471,14620 PACIFIC AVE. S.,PARKLAND,WA,98444,USA,2537197026,,
ABSOLUTE AG SUPPLY,CarQuest,1000475,74851 RICHLAND RD.,MASSENA,IA,50853,USA,7127793623,,
AG POWER INC,CarQuest,1000482,603 ORCHARD DR.,HILLSBORO,KS,67063,USA,6209473944,,
ANDERSON AUTOMOTIVE SPLY.,CarQuest,1000503,151 MAIN ST.,ANDERSON,TX,77830,USA,9368732913,,
AUTO MART AUTO & OUTDOOR EQUIP.,CarQuest,1000527,804 W BANKHEAD ST.,NEW ALBANY,MS,38652,USA,6625342258,,
BALLARD PARTS SERVICE COMPANY,CarQuest,1000570,1188 JOHN C. CALHOUN DR.,ORANGEBURG,SC,29115,USA,8035341151,,
CARQUEST,CarQuest,1000697,256 N. MAIN ST.,SPARTA,NC,28675,USA,3363725545,,
CARQUEST,CarQuest,1000699,900 S COUNCIL ST.,ATTICA,IN,47918,USA,7657626701,,
CARQUEST,CarQuest,1000708,"2051 S ""E"" ST.",BROKEN BOW,NE,68822,USA,3088722473,,
CARQUEST,CarQuest,1000716,1930 WEST VALLEY BLVD.,COLTON,CA,92324,USA,8446007278,,
CARQUEST,CarQuest,1000753,2631 PENNSYLVANIA AVE.,BALTIMORE,MD,21217,USA,4106690800,,
CARQUEST,CarQuest,1000782,630 E. MOUNTAIN PARKWAY RD.,SALYERSVILLE,KY,41465,USA,6063496141,,
CARQUEST,CarQuest,1000786,1A MAIN ST.,SHELBURNE FALLS,MA,1370,USA,4136259702,,
CARQUEST,CarQuest,1000787,1233 WEST MAIN ST.,SHERIDAN,OR,97378,USA,5038434486,,
CARQUEST,CarQuest,1000790,93 N. MAIN ST.,SOUTH DEERFIELD,MA,1373,USA,4136652622,,
CARQUEST,CarQuest,1000812,8450-A W. WINDSOR BLVD.,WINDSOR,VA,23487,USA,7572424600,,
"CLARENDON AUTO PARTS, INC",CarQuest,1000865,511 S. MILL ST.,MANNING,SC,29102,USA,8034358888,,
CARQUEST,CarQuest,1000940,4505 OLD SEWARD HWY.,ANCHORAGE,AK,99503,USA,9075633126,,
CARQUEST,CarQuest,1000980,221 W. GROVE ST.,CALEDONIA,MN,55921,USA,5077243383,,
CARQUEST,CarQuest,1001028,9850 INDIANAPOLIS BLVD.,HIGHLAND,IN,46322,USA,2199619535,,
CARQUEST,CarQuest,1001049,350 EAST RUSSEL ST.,FAYETTEVILLE,NC,28301,USA,9104832626,,
CARQUEST,CarQuest,1001079,101 SECOND ST.,HAVRE,MT,59501,USA,4062652231,,
CARQUEST,CarQuest,1001083,235 A SW OAK ST.,HILLSBORO,OR,97123,USA,5036482196,,
CARQUEST,CarQuest,1001093,"2119 AVENUE ""A""",KEARNEY,NE,68847,USA,3082372247,,
CARQUEST,CarQuest,1001100,901 MONITOR ST.,LA CROSSE,WI,54603,USA,6087828180,,
CARQUEST,CarQuest,1001101,9109 W. OGDEN AVE.,BROOKFIELD,IL,60513,USA,7083542195,,
CARQUEST,CarQuest,1001106,3738 BOULDER HWY.,LAS VEGAS,NV,89121,USA,7026418282,,
CARQUEST,CarQuest,1001155,3020 BOWLARAMA DR.,NEW CASTLE,DE,19720,USA,3026527278,,
CARQUEST,CarQuest,1001161,320 N. SALCEDO ST.,NEW ORLEANS,LA,70119,USA,5048222288,,
CARQUEST,CarQuest,1001170,340 W. COLLINS AVE.,ORANGE,CA,92867,USA,7145324777,,
CARQUEST,CarQuest,1001202,11481 W. BROAD ST.,RICHMOND,VA,23233,USA,8043602300,,
CARQUEST,CarQuest,1001238,210 E. 10TH ST.,GILROY,CA,95020,USA,4088481155,,
CARQUEST,CarQuest,1001292,421 SOUTH MAIN ST.,WILDWOOD,FL,34785,USA,3527481011,,
CARQUEST,CarQuest,1001327,"795 COLUMBIA AVE ""B""",RIVERSIDE,CA,92507,USA,9516840242,,
DEVIL'S RIVER AUTO PARTS,CarQuest,1001379,501 S CROCKETT AVE.,SONORA,TX,76950,USA,3253873255,,
DG NICHOLAS CO - SCRANTON,CarQuest,1001386,601-615 WYOMING AVE.,SCRANTON,PA,18509,USA,5703427683,,
DURAND AUTO PARTS,CarQuest,1001410,8771 E. LANSING RD.,DURAND,MI,48429,USA,9892883191,,
"DURBIN AUTO PARTS, INC.",CarQuest,1001411,948 SOUTH MEMORIAL DR.,PRATTVILLE,AL,36067,USA,3343655210,,
GOOD AUTO PARTS,CarQuest,1001484,81 ARTHUR ST. S.,ELMIRA,ON,N3B2M8,CAN,5196691533,,
"GREENSBURG AUTO PARTS, INC.",CarQuest,1001493,408 S. MICHIGAN AVE.,GREENSBURG,IN,47240,USA,8122222271,,
"GREER'S AUTO & FARM, LLC",CarQuest,1001496,807 EAST MAIN ST.,JEFFERSON,NC,28640,USA,3368467278,,
GUNNISON IMPLEMENT COMPANY LLC,CarQuest,1001504,51 W. 200 N.,GUNNISON,UT,84634,USA,4355287271,,
"HINES PERFORMANCE PARTS, LLC",CarQuest,1001543,201 S. CENTER ST.,SHELBINA,MO,63468,USA,5735884136,,
J AND A AUTO SUPPLY,CarQuest,1001596,437 NORTH ELM ST.,RED CLOUD,NE,68970,USA,4027462883,,
JEFFERS AUTO PARTS,CarQuest,1001607,603 W ELNORA ST.,ODON,IN,47562,USA,8126364049,,
KAISER AUTO SUPPLY LLC,CarQuest,1001628,143 SOUTH 13TH ST.,GENEVA,NE,68361,USA,4027594211,,
KANE AUTOMOTIVE SUPPLY,CarQuest,1001629,619 W FRANKLIN ST.,DELPHI,IN,46923,USA,7655646004,,
KITTRELL A/P OF CAPE CARTERET,CarQuest,1001652,915 WB MCCLEAN RD.,CAPE CARTERET,NC,28584,USA,2523932081,,
KITTRELL AUTO PARTS #3,CarQuest,1001655,1012 E MAIN ST.,HAVELOCK,NC,28532,USA,2524471034,,
LARRYS AUTO PARTS,CarQuest,1001681,5855 HOLLISTER AVE,**GOLETA**,CA,93117,USA,8059643545,,
MACS AUTO SUPPLY,CarQuest,1001726,372 NW CHEHALIS AVE.,CHEHALIS,WA,98532,USA,3607488666,,
MANCHESTER CARQUEST,CarQuest,1001733,110 SOUTH 11TH ST.,MANCHESTER,IA,52057,USA,5639275566,,
MATHEWS AUTO CENTER,CarQuest,1001738,10 E. WILLOW ST.,LIBERTY,IN,47353,USA,7654585124,,
MICHELENA AUTOMOTIVE SUPPLY,CarQuest,1001751,70 BENTEEN AVE.,BUFFALO,WY,82834,USA,3076842237,,
MID-COUNTY AUTO SUPPLY CARQUEST,CarQuest,1001752,125 NORTH FOURTH ST.,BREESE,IL,62230,USA,6185264503,,
MOAB AUTO PARTS INC.,CarQuest,1001776,1010 S. MAIN ST.,MOAB,UT,84532,USA,4352592413,,
MT AIRY AUTO PARTS,CarQuest,1001800,407 S MAIN ST.,MT AIRY,MD,21771,USA,3018291620,,
MULLER AUTO PARTS,CarQuest,1001803,1107 WEST CEDAR ST.,BERESFORD,SD,57004,USA,6057635080,,
"NEXT LEVEL PARTS, INC.",CarQuest,1001813,430 LANDER AVE.,TURLOCK,CA,95380,USA,2096344968,,
"NICK'S AUTO PARTS, LLC",CarQuest,1001815,610 CENTER DR.,LUXEMBURG,WI,54217,USA,9208452287,,
OTTS AUTO SUPPLY,CarQuest,1001839,239 S. JOHNSON ST.,KAHOKA,MO,63445,USA,6607273646,,
PHI-DT MORRISVILLE PA #1261,CarQuest,1001872,1381 S. PENNSYLVANIA AVE.,MORRISVILLE,PA,19067,USA,2155849185,,
PIECES D'AUTOS STE-CATHERINE J.C,CarQuest,1001887,"4517, RTE FOSSAMBAULT L. 300",STE-CATHERINE J.C.,QC,G3N 1S3,CAN,4188754019,,
QUALITY CARQUEST,CarQuest,1001917,1012 WEST MALONEY AVE.,GALLUP,NM,87301,USA,5058633851,,
RAWLINS AUTO PARTS,CarQuest,1001936,406 E. CEDAR ST.,RAWLINS,WY,82301,USA,3073242751,,
RICHLAND AUTO PARTS,CarQuest,1001951,480 RICHLAND AVE.,ATHENS,OH,45701,USA,7405926677,,
RIVER RUN AUTO PARTS,CarQuest,1001960,820 B WARM SPRINGS RD.,KETCHUM,ID,83340,USA,2087260104,,
ROLL - BINGHAM CARQUEST,CarQuest,1001968,4835 E. 38TH AVE.,ROLL,AZ,85347,USA,9287853319,,
SIDNEY CARQUEST,CarQuest,1002008,710 WEST RUSSELL RD.,SIDNEY,OH,45365,USA,9374926133,,
SOUTHWEST KS SALES LLC-HUGOTON,CarQuest,1002020,528 S. MAIN ST.,HUGOTON,KS,67951,USA,6205448820,,
TAFT MOTOR PARTS,CarQuest,1002068,110 GREEN AVE.,TAFT,TX,78390,USA,3615282343,,
"VALLEY PARTS, LLC",CarQuest,1002116,458 US HWY. 93 N.,EUREKA,MT,59917,USA,4062972411,,
WEBBERS SUPPLY,CarQuest,1002137,1711 ROSE AVE.,BURLINGTON,CO,80807,USA,7193465395,,
Advance Auto Parts,CarQuest,1000378,6701 S. POTOMAC ST.,CENTENNIAL,CO,80112,USA,,"39.594442,-104.831749","39.594442,-104.831749"
CARQUEST,CarQuest,1000730,62487 US 40 / BOX107,GRANBY,CO,80446,USA,9708872111,"40.0567359924316,-105.922927856445","40.0567359924316,-105.922927856445"
LANDMARK IMPLEMENT CARQUEST,CarQuest,1001677,1190 33 ROAD / PO BOX 177,MINDEN,NE,68959,USA,3088321087,"40.5069750000001,-98.9326750000183","40.5069750000001,-98.9326750000183"
CARQUEST,CarQuest,1001008,9070 MARSHALL RD.,CRANBERRY TWP,PA,16066-3606,USA,7247764871,"40.711436,-80.097258","40.711436,-80.097258"
KEN'S AUTO PARTS,CarQuest,1001640,"480 ""G"" STREET",ARCATA,CA,95521,USA,7078223674,"40.8703117370605,-124.085380554199","40.8703117370605,-124.085380554199"
Advance Auto Parts,CarQuest,1000362,2830 CARQUEST DRIVE,BRUNSWICK,OH,44212,USA,3302253188,"41.2338447570801,-81.8246231079102","41.2338447570801,-81.8246231079102"
RAY-MAC DISTRIBUTORS LIMITED,CarQuest,1001940,378 RICHMOND ST P.O. # 1344,CHATHAM,ON,N7M 5R9,CAN,5193523120,"42.39307,-82.1952","42.39307,-82.1952"
JANESVILLE CARQUEST,CarQuest,1001606,1908  HUMES RD / HWY 14,JANESVILLE,WI,53545,USA,6087543383,"42.6867752075195,-89.0176773071289","42.6867752075195,-89.0176773071289"
CARQUEST,CarQuest,1001075,1249 STONECHURCH UNIT RD E7&8,HAMILTON,ON,L8W 2C6,CAN,9053182002,"43.1985778808594,-79.8376541137695","43.1985778808594,-79.8376541137695"
CARQUEST,CarQuest,1000899,4325 HARVESTER ROAD UNIT#10,BURLINGTON,ON,L7L 5M4,CAN,9056391401,"43.37138,-79.7753199","43.37138,-79.7753199"
CARQUEST,CarQuest,1001062,334 GUELPH ST.,GEORGETOWN,ON,L7G 4B5,CAN,9058775161,"43.648801,-79.88711","43.648801,-79.88711"
CARQUEST,CarQuest,1001136,560 DENISON ST UNIT #7,MARKHAM,ON,L3R 2M8,CAN,9054755501,"43.82398,-79.34386","43.82398,-79.34386"
CARQUEST,CarQuest,1000952,294 YONGE ST.,BARRIE,ON,L4N 4C7,CAN,7057257393,"44.370266,-79.671215","44.370266,-79.671215"
CARQUEST,CarQuest,1000973,"1220 STEWART BLVD, #2",BROCKVILLE,ON,K6V 7H2,CAN,6133427777,"44.60243,-75.71124","44.60243,-75.71124"
CARQUEST,CarQuest,1000692,206020 HIGHWAY 26 - R.R. # 3,MEAFORD,ON,N4L 0A7,CAN,5195382311,"44.6160064,-80.620174","44.6160064,-80.620174"
CARQUEST,CarQuest,1001013,75 AKERLEY BLVD UNITS C & D,DARTMOUTH,NS,B3B 1R7,CAN,9024688444,"44.71347,-63.59604","44.71347,-63.59604"
JT AUTO PARTS,CarQuest,1001623,294 COUNTY ROAD #44,KEMPTVILLE,ON,K0G 1J0,CAN,6132580060,"45.0219112,-75.6536826","45.0219112,-75.6536826"
CARQUEST,CarQuest,1001006,#1 LOCUST STREET,COLSTRIP,MT,59323,USA,4067483335,"45.8855781555176,-106.627372741699","45.8855781555176,-106.627372741699"
CARQUEST,CarQuest,1001022,457 ADELARD-SAVOIE BLVD UNIT #,DIEPPE,NB,E1A 7E7,CAN,5068543500,"46.108208,-64.703544","46.108208,-64.703544"
CARQUEST,CarQuest,1000959,1407 132ND AVE NE STE#1,BELLEVUE,WA,98005,USA,4254547936,"47.6255200000902,-122.16441504511","47.6255200000902,-122.16441504511"
AUTO PARTES BAJA - DELANTE,CarQuest,1000529,AV DELANTE #109-A,ENSENADA,BC,22880,MEX,(646) 176-3550,"55.001251,-125.002441","55.001251,-125.002441"
TORTOLA AUTO GROUP,CarQuest,1002086,SLANEY POINT,"ROAD TOWN, TORTOLA",VG,1110,BVI,2844942600,"18.4287796020508,-64.6132431030273","18.4287796020508,-64.6132431030273"
CARQUEST,CarQuest,1000654,74-5583 LUHIA STREET,KAILUA-KONA,HI,96740,USA,8083295008,"19.6477,-155.9984","19.6477,-155.9984"
CARQUEST,CarQuest,1000652,60 POHAKU STREET,HILO,HI,96720,USA,8087478262,"19.7030949887019,-155.063970000276","19.7030949887019,-155.063970000276"
CARQUEST,CarQuest,1000805,64-5192 KINOHOU STREET,KAMUELA,HI,96743,USA,8088850588,"20.0249230094716,-155.659889618985","20.0249230094716,-155.659889618985"
CARQUEST,CarQuest,1000655,1901 SOUTH KINGS STREET,HONOLULU,HI,96826,USA,8089414100,"21.29498,-157.83125","21.29498,-157.83125"
CARQUEST,CarQuest,1000656,1914 REPUBLICAN STREET STE. A,HONOLULU,HI,96819,USA,8088395220,"21.32578,-157.88419","21.32578,-157.88419"
GEORGE'S AUTO PARTS,CarQuest,1001472,94-220 LEOKANE STREET,WAIPAHU,HI,96797,USA,8086771471,"21.38049,-158.02025","21.38049,-158.02025"
CARQUEST,CarQuest,1000653,45-618 KAM HIGHWAY,KANEOHE,HI,96744,USA,8082359600,"21.381124,-157.783389","21.381124,-157.783389"
PREMIUM AUTO PARTS GDT,CarQuest,1001910,"TRPCL BRZ PLZA, N BACK SALINA",GRAND TURK,TC,0,BWI,6499461898,"21.4659271240234,-71.1393432617188","21.4659271240234,-71.1393432617188"
CARQUEST,CarQuest,1000651,655 CALIFORNIA AVE SUITE A,WAHIAWA,HI,96786,USA,8086222678,"21.4971500000074,-158.026720000007","21.4971500000074,-158.026720000007"
PREMIUM AUTO PARTS LTD,CarQuest,1001912,INDUSTRIAL PARK UNITS 6 AND 7,PROVIDENCIALES,TC,109,BWI,6499464197,"21.7895221710205,-72.2693328857422","21.7895221710205,-72.2693328857422"
PREMIUM AUTO PARTS OF KEY WEST,CarQuest,1001913,5713 FIRST AVENUE,KEY WEST,FL,33040,USA,3059222962,"24.57226,-81.73471","24.57226,-81.73471"
ALBURYS NASSAU LTD,CarQuest,1000491,TOP OF THE HILL MACKEY ST  4B,NASSAU,NP,0,USA,2426032780,"25.0774402618408,-77.3407516479492","25.0774402618408,-77.3407516479492"
Advance Auto Parts,CarQuest,1000040,3799 INTERNATIONAL BLVD,BROWNSVILLE,TX,78521-3256,USA,9569824501,"25.91672,-97.47208","25.91672,-97.47208"
Advance Auto Parts,CarQuest,1000039,1735 SOUTH F STREET,HARLINGEN,TX,78550,USA,9564230240,"26.1757,-97.70167","26.1757,-97.70167"
CARQUEST,CarQuest,1001039,2707 OKEECHOBEE BLVD,WEST PALM BEACH,FL,33409,USA,5612734895,"26.70728,-80.09517","26.70728,-80.09517"
ALBURYS ABACO LTD,CarQuest,1000489,QUEEN ELIZABETH DRIVE,MARSH HARBOR,AB,0,BHS,2423672452,"26.783332824707,-77.4333343505859","26.783332824707,-77.4333343505859"
GRANDE AUTO PARTS LLC.,CarQuest,1001489,2014 N US HWY 83,ZAPATA,TX,78076,USA,9567503069,"26.9072400101263,-99.2715499832382","26.9072400101263,-99.2715499832382"
NORTHSIDE AUTO PARTS,CarQuest,1001825,1507 8TH AVENUE WEST,PALMETTO,FL,34221,USA,9417224581,"27.5591061173765,-82.5729589967669","27.5591061173765,-82.5729589967669"
Advance Auto Parts,CarQuest,1000358,5354 MCARDLE ROAD,CORPUS CHRISTI,TX,78411,USA,3619919119,"27.7126200012506,-97.3714299984313","27.7126200012506,-97.3714299984313"
Advance Auto Parts,CarQuest,1000080,1019 EAST MAIN STREET,ALICE,TX,78332,USA,3616646521,"27.75082,-98.06585","27.75082,-98.06585"
Advance Auto Parts,CarQuest,1001572,4858 BALDWIN BLVD,CORPUS CRISTI,TX,78408,USA,,"27.7892581120194,-97.442004349631","27.7892581120194,-97.442004349631"
Advance Auto Parts,CarQuest,1000357,3780 LEOPARD STREET,CORPUS CHRISTI,TX,78408,USA,3617923929,"27.797070001521,-97.4403299999402","27.797070001521,-97.4403299999402"
CARQUEST,CarQuest,1001026,5253 126TH AVE N,CLEARWATER,FL,33760,USA,7275920205,"27.8864600000794,-82.70087","27.8864600000794,-82.70087"
CARQUEST,CarQuest,1000741,1373 RESMONDO DRIVE,LAKE WALES,FL,33853,USA,8636761800,"27.919252045354,-81.59211","27.919252045354,-81.59211"
CARQUEST,CarQuest,1000779,614 S HWY 35,ROCKPORT,TX,78382,USA,3617297333,"28.0216035037792,-97.060049530211","28.0216035037792,-97.060049530211"
SNIDER AUTO PARTS AND GARAGE,CarQuest,1002016,710 HOUSTON ST,GEORGE WEST,TX,78022,USA,3614491333,"28.3279950003281,-98.1248300005504","28.3279950003281,-98.1248300005504"
Advance Auto Parts,CarQuest,1000178,1625 EAST MERRITT ISLAND CAUSE,MERRITT ISLAND,FL,32952,USA,3214544005,"28.3499736785889,-80.6963958740234","28.3499736785889,-80.6963958740234"
Advance Auto Parts,CarQuest,1000223,1951 MCCOY RD,ORLANDO,FL,32809,USA,3212060400,"28.45155,-81.35454","28.45155,-81.35454"
NICKS AUTO PARTS INC,CarQuest,1001814,808 N FIRST,CARRIZO SPRINGS,TX,78834,USA,8308765228,"28.5218100001121,-99.8569850006806","28.5218100001121,-99.8569850006806"
